"TOA5","Example_Station","CR1000X","12150","CR1000X.Std.03.02","CPU:Example_Station_v8.2.CR1X","57906","Table"
"TIMESTAMP","RECORD","Day_of_Year","HourMin","RS_kw_m2_Avg","RS_kw_m2_Max","RS_kw_m2_Min","RS_kw_m2_Std","PAR_Avg","PAR_Max","PAR_Min","mean_wind_vel","mean_wind_vector_mag","mean_vector_wind_dir","sd_wind_dir","WS_ms_Max","WS_ms_Min","WS_ms_Std","AT_C_Max","AT_C_Min","AT_C_Avg","RH_pct_Max","RH_pct_Min","RH_pct_Avg","BP_mB_Avg","PCPN_intrvl_Tot","PCPN_accumulated","RGTemp_C_Avg","TC_C_2_Max","TC_C_2_Min","TC_C_2_Avg","TC_C_10_Max","TC_C_10_Min","TC_C_10_Avg","delta_T_C_Max","delta_T_C_Min","delta_T_C_Avg","Soil_T50_C_Max","Soil_T50_C_Min","Soil_T50_C_Avg","Soil_T100_C_Max","Soil_T100_C_Min","Soil_T100_C_Avg","Soil_T200_C_Max","Soil_T200_C_Min","Soil_T200_C_Avg","Soil_T500_C_Max","Soil_T500_C_Min","Soil_T500_C_Avg","VWC50_Avg","VWC_V_Avg","CS616_50_Avg","CS616_V_Avg","LWmV_Avg","LWmV_Max","LWmV_Min","LWMDry_Tot","LWMCon_Tot","LWMWet_Tot","Batt_volt_Max","Batt_volt_Min","Batt_volt_Avg","Batt_Comm_Max","Batt_Comm_Min","Batt_Comm_Avg","PTemp_Avg","Sta_ID"
"TS","RN","_day_of_year","hours_min","kW/m²","kW/m²","kW/m²","kW/m²","mmol/s/m²","mmol/s/m²","mmol/s/m²","m/s","m/s","Deg","Deg","m/s","m/s","m/s","°C","°C","°C","%","%","%","mB","mm","mm","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","% H2O","% H2O","uSec","uSec","mV","mV","mV","Minutes","Minutes","Minutes","volts","volts","volts","volts","volts","volts","°C",""
"","","Smp","Smp","Avg","Max","Min","Std","Avg","Max","Min","WVc","WVc","WVc","WVc","Max","Min","Std","Max","Min","Avg","Max","Min","Avg","Avg","Tot","Smp","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Tot","Tot","Tot","Max","Min","Avg","Max","Min","Avg","Avg","Smp"
"2020-01-07 14:40:00",0,7,1440,0.459,0.522,0.367,0.05,0.716,0.801,0.592,3.059,3.017,309.4,9.32,4.345,0,0.868,11.63,11.59,11.6,77.31,75.41,76.59,982.639,0,0,"NAN",12.27,11.89,12.13,11.61,11.35,11.44,-0.517,-0.84,-0.689,7.224,7.185,7.197,7.941,7.903,7.916,9.01,8.96,8.97,10.79,10.74,10.76,0.222,0.239,23.74,24.29,516.1,516.4,515.9,0,0,1.15,13.97,13.97,13.97,14.4,14.37,14.38,12.85,999
"2020-01-07 14:50:00",1,7,1450,0.329,0.543,0.152,0.136,0.531,0.826,0.279,3.737,3.654,320,12.09,5.423,2.156,0.686,12.07,11.43,11.76,78.49,73.88,75.96,1004.533,0,0,"NAN",12.8,11.55,12.05,11.78,11.14,11.42,-0.332,-1.068,-0.638,7.392,7.092,7.251,8.09,7.792,7.955,9.14,8.82,9,10.94,10.6,10.78,0.243,0.262,26.01,26.61,517.6,521,514.3,0,0,10,13.97,13.97,13.97,14.4,14.36,14.38,12.93,999
"2020-01-07 15:00:00",2,7,1500,0.155,0.206,0.114,0.029,0.274,0.36,0.205,4.408,4.287,319.7,13.39,7.154,1.601,1.106,11.43,11.03,11.21,79.79,77.43,78.86,1004.507,0,0,"NAN",11.91,11.26,11.55,11.37,11.04,11.24,-0.137,-0.575,-0.308,7.436,7.303,7.34,8.13,7.97,8.01,9.17,8.99,9.04,10.95,10.77,10.82,0.244,0.262,26.02,26.61,512.1,514.5,510.3,0,0,10,13.97,13.97,13.97,14.39,13.99,14.34,12.79,999
"2020-01-07 15:10:00",3,7,1510,0.116,0.124,0.104,0.006,0.202,0.218,0.184,4.626,4.516,322.2,12.52,7.677,1.993,1.184,11.03,10.83,10.9,81.3,79.66,80.4,1004.544,0,0,"NAN",11.44,11.22,11.31,11.24,11.04,11.12,-0.135,-0.242,-0.184,7.376,7.315,7.348,8.01,7.975,7.993,9.01,8.99,9,10.81,10.77,10.79,0.244,0.262,26.02,26.61,509.1,510.3,508.3,0,0,10,13.97,13.97,13.97,14.21,13.86,14,12.83,999
"2020-01-07 15:20:00",4,7,1520,0.102,0.122,0.07,0.014,0.178,0.204,0.143,4.017,3.758,309.8,20.59,6.174,1.013,0.963,10.88,10.79,10.84,82.5,81,81.7,1004.509,0,0,"NAN",11.42,11.15,11.27,11.15,10.93,11.03,-0.157,-0.349,-0.236,7.404,7.373,7.387,8.01,7.997,8,9.02,9,9.01,10.81,10.79,10.8,0.244,0.262,26.02,26.61,508.4,508.9,507.9,0,0,10,13.98,13.95,13.97,13.91,13.64,13.77,12.79,999
"2020-01-07 15:30:00",5,7,1530,0.139,0.356,0.056,0.107,0.237,0.519,0.126,3.618,3.37,310.3,21.23,5.749,0.98,1.046,10.88,10.55,10.66,82.9,79.36,82,1004.385,0,0,"NAN",11.65,10.92,11.16,11.28,10.89,11,-0.005,-0.448,-0.154,7.479,7.398,7.441,8.06,8,8.03,9.05,9,9.03,10.85,10.8,10.83,0.244,0.262,26.02,26.61,506.6,508.7,505.5,0,0,10,14,13.53,13.8,14.47,13.5,13.91,12.66,999
"2020-01-07 15:40:00",6,7,1540,0.136,0.305,0.079,0.055,0.235,0.453,0.16,4.056,3.896,300.6,16.1,6.337,1.503,0.845,11.1,10.87,10.95,79.93,78.18,79.19,1004.35,0,0,"NAN",11.66,11.3,11.45,11.4,11.1,11.24,-0.063,-0.395,-0.211,7.526,7.475,7.5,8.08,8.05,8.07,9.06,9.04,9.05,10.86,10.85,10.85,0.244,0.262,26.02,26.61,509.5,511,508.7,0,0,10,14,14,14,14.46,14.38,14.44,12.41,999
"2020-01-07 15:50:00",7,7,1550,0.089,0.099,0.078,0.005,0.169,0.187,0.155,3.87,3.721,303.6,15.92,7.611,1.078,1.195,10.93,10.75,10.82,80.6,79,79.89,1004.412,0,0,"NAN",11.36,11.17,11.27,11.33,11.19,11.26,0.08,-0.114,-0.006,7.577,7.526,7.553,8.11,8.08,8.09,9.07,9.05,9.06,10.88,10.86,10.87,0.244,0.262,26.02,26.61,508.3,509.2,507.5,0,0,10,14,14,14,14.45,14.31,14.43,12.19,999
